,0
58,Help families in difficulties every year.
59,"Donate money during the epidemic, visit and sympathize with employees in need"
60,"New crown pneumonia, donate to the society as soon as possible"
61,"Caring for employees, continuous improvement"
62,Show love during the epidemic.
63,Love Fund is very good
64,"Enterprise WeChat, the slogan of the company meeting before and after work"
65,Responsibility implementation in protection and testing in epidemic prevention and control work
66,"Go to work safely and go home safely! Every day before going to work, read out: Safety instructions."
67,"Helping families in difficulty donate money, this has positive energy"
68,Did not expect
69,"When an employee's family changed, the company's labor union sent the chairman of the labor union to give condolences and money. Help employees get out of their predicaments as much as possible"
70,The company provides subsidies to needy employees every year and visits and condolences to employees who have been working outside for a long time.
71,The quality and cultivation of our Shengyang employees are very high.The employee who picked up the mobile phone personally delivered it to the door and returned the wallet to the original owner! Like you!
72,Aid fund established by the union
73,"If you want to be more competitive than others in your future workplace, how can you quickly grow into a unique talent? How to build your core competitiveness, the most important element of core competitiveness is your learning ability, your thinking ability and your action ability."
74,The company will help when in trouble
75,"I stayed at home during the epidemic, and the factory attended and paid wages every day."
76,Provide subsidies to extremely poor employees.
77,The company pays wages in a timely manner ②You can get enough food for 2 yuan in the living room ③I encounter difficulties and lead the donation and condolences
78,"The company will organize visits to the elderly with minimum living allowances or condolences to impoverished employees during festivals, and donate money to areas in need or disaster-stricken areas. Positive energy of employees abounds!"
79,Help families in difficulties
80,"Dispensing beverages, tea, and cooling oil always put employee safety first"
81,The employees of the company are all people who don’t know how to collect money. I am happy to be a member of Shengyang
82,Safety reflective vest
83,The company actively donates to the society during service
84,"Care for employees, employees will lend a helping hand when they have difficulties! The employees are very proactive, do not complain in front of problems and face them positively."
85,Actively care for colleagues
86,Check in and out of get off work
87,Workplaces and resting places are particularly positive!
88,Often organize group activities
89,Actively help colleagues in difficulties
90,Reach out in time for families in difficulties
91,Timely payment of wages
92,Good in every way
93,The company organizes a knowledge contest
94,"In the work, colleagues help a lot, more"
95,Aspects of poverty alleviation
96,Caring and loving colleagues
97,Skill wages are unreasonable
98,All the staff are very good
99,Civilized language and helpful.
100,When public funds are issued urgently
101,Senior Family Member Insurance
102,There are channels for upper and lower communication and an effective promotion mechanism
103,"When an employee is sick, the company can visit the employee as soon as possible to give condolences to the employee and learn about the employee's treatment."
104,When recruiting new employees
105,Timely payment of wages and benefits.
106,Employee safety
107,Strict requirements for safety
108,The corporate culture spirit that Shengyang has accumulated over the past 30 years has been rooted in the blood of Shengyang people as the years go by.
109,Regularly organize sports activities and knowledge competitions
110,"Organize employees to conduct safety drills and organize various trainings from time to time to ensure that employees complete various tasks in accordance with requirements, systems and standards"
111,The Love Fund helps employees in difficulties.
112,Love Fund is good
113,Organize activities and care about employees.
114,Company treatment
115,Advanced People Report
116,Improve the working environment and raise wages
117,"Mutual help and love, lost and found"
118,The restaurant in this community’s company is not bad!
119,"In the summer, the company distributes heat dissipation products to employees"
120,The best charity activities
121,Do charity
122,Help employees in difficulties
123,Timely payment of wages
124,Do a good job in the safety and health of employees
125,"Cycling on the way off work, wearing fluorescent clothing and helmet"
126,"Good, good, Shengyang is better"
127,The company’s wages and benefits are in a good environment
128,"In terms of reception, the company is showing"
129,Caring about the safety of employees going to get off work
130,Caring for employees.
131,Individual staff are very helpful
132,Leaders can enter the workshop more to see how workers work in hot weather
133,Activeness of activity
134,"""Special"" haha! Then there are fewer black lists!"
135,Staff treatment
136,Increase entertainment
137,Distribute heat relief supplies to everyone
138,"Overtime is not a normal attendance. Nine yuan per hour makes us especially want to go home early, which is very positive."
139,"The slogan before the class meeting every day,"
140,Help difficult employees
141,"If employees have difficulties, they can call on everyone to help"
142,"In severe weather, you must report home after get off work in the group"
143,More communication between superiors and colleagues
144,Visiting and condolences to employees in difficulties during the Spring Festival
145,Help each other in difficulties
146,Full of positive energy
147,Parking lot leveling and hardening
148,Send herbal tea in summer
149,"During the epidemic, the company can donate money to the hospital. This is a manifestation of great love and positive energy!"
150,Watermelon is served in the summer cafeteria.
151,I hope the leaders will value the positive speeches of the workers
152,Some activities organized by the city
153,The company established a love fund to help employees whose family life is difficult
154,Love Fund Helps Needy Families
155,Also helped employees
156,It’s OK to do basic insurance for employees
